#Parameters = {Er=4.4; IE=60; P1=0; P2=-49.398; P3=177.553; P4=36.514; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (502) []"
#-------------------------------------
-98.000000000000	-15.144972085540
-97.000000000000	-15.083859727987
-96.000000000000	-14.995618678560
-95.000000000000	-14.881296894502
-94.000000000000	-14.742188651342
-93.000000000000	-14.579754788236
-92.000000000000	-14.395549256075
-91.000000000000	-14.191156838580
-90.000000000000	-13.968144715793
-89.000000000000	-13.728054846847
-88.000000000000	-13.472277398909
-87.000000000000	-13.202202695546
-86.000000000000	-12.919113398531
-85.000000000000	-12.624218563910
-84.000000000000	-12.318664397610
-83.000000000000	-12.003546883520
-82.000000000000	-11.679924608928
-81.000000000000	-11.348830570034
-80.000000000000	-11.011282170584
-79.000000000000	-10.668289001472
-78.000000000000	-10.320858294097
-77.000000000000	-9.9699981710301
-76.000000000000	-9.6167189764981
-75.000000000000	-9.2620330635808
-74.000000000000	-8.9069534549433
-73.000000000000	-8.5524917910361
-72.000000000000	-8.1996559459597
-71.000000000000	-7.8494476378543
-70.000000000000	-7.5028602975827
-69.000000000000	-7.1608773945723
-68.000000000000	-6.8244713578716
-67.000000000000	-6.4946031776685
-66.000000000000	-6.1722227298783
-65.000000000000	-5.8582698347079
-64.000000000000	-5.5536760390923
-63.000000000000	-5.2593671016827
-62.000000000000	-4.9762661564276
-61.000000000000	-4.7052975354296
-60.000000000000	-4.4473912425088
-59.000000000000	-4.2034880848182
-58.000000000000	-3.9745454903321
-57.000000000000	-3.7615440638306
-56.000000000000	-3.5652658612362
-55.000000000000	-3.3871683451373
-54.000000000000	-3.2281650533894
-53.000000000000	-3.0894115566222
-52.000000000000	-2.9721343510523
-51.000000000000	-2.8776449479418
-50.000000000000	-2.8073562703405
-49.000000000000	-2.7628018910258
-48.000000000000	-2.7456587860528
-47.000000000000	-2.7577744560411
-46.000000000000	-2.8011994916749
-45.000000000000	-2.8782269407539
-44.000000000000	-2.9914401790129
-43.000000000000	-3.1437713941603
-42.000000000000	-3.3385732349993
-41.000000000000	-3.5797065652017
-40.000000000000	-3.8716473567673
-39.000000000000	-4.2196149821147
-38.000000000000	-4.6297211455302
-37.000000000000	-5.1091302140307
-36.000000000000	-5.6662001533108
-35.000000000000	-6.3105204316539
-34.000000000000	-7.0526349641759
-33.000000000000	-7.9030637067394
-32.000000000000	-8.8685705766940
-31.000000000000	-9.9446114763701
-30.000000000000	-11.095048919959
-29.000000000000	-12.212115760390
-28.000000000000	-13.065162747740
-27.000000000000	-13.332864069013
-26.000000000000	-12.844636170457
-25.000000000000	-11.773474026328
-24.000000000000	-10.441481647095
-23.000000000000	-9.0793915966147
-22.000000000000	-7.7952596401991
-21.000000000000	-6.6258022991781
-20.000000000000	-5.5764507383191
-19.000000000000	-4.6410306271509
-18.000000000000	-3.8100470966256
-17.000000000000	-3.0738925587490
-16.000000000000	-2.4238469582887
-15.000000000000	-1.8527359204000
-14.000000000000	-1.3544205746887
-13.000000000000	-0.92391719754820
-12.000000000000	-0.55719734067896
-11.000000000000	-0.25104568974516
-10.000000000000	-0.0029385438957952
-9.0000000000000	0.18905687563890
-8.0000000000000	0.32636539319634
-7.0000000000000	0.40997350709356
-6.0000000000000	0.44049078072340
-5.0000000000000	0.41820900566900
-4.0000000000000	0.34316675969443
-3.0000000000000	0.21522983295134
-2.0000000000000	0.034202793323471
-1.0000000000000	-0.20000527357195
0.0000000000000	-0.48712568501862
1.0000000000000	-0.82612277852797
2.0000000000000	-1.2145389215802
3.0000000000000	-1.6477123332905
4.0000000000000	-2.1171983522671
5.0000000000000	-2.6088996986199
6.0000000000000	-3.1007109120697
7.0000000000000	-3.5603945008815
8.0000000000000	-3.9453312435157
9.0000000000000	-4.2067734146204
10.000000000000	-4.3004980077302
11.000000000000	-4.2013493419568
12.000000000000	-3.9133792888835
13.000000000000	-3.4679372265200
14.000000000000	-2.9112401112506
15.000000000000	-2.2903059354311
16.000000000000	-1.6441544287757
17.000000000000	-1.0010504015900
18.000000000000	-0.37985964990901
19.000000000000	0.20815476499798
20.000000000000	0.75672807012210
21.000000000000	1.2629150302426
22.000000000000	1.7258458849366
23.000000000000	2.1458998808368
24.000000000000	2.5241746215070
25.000000000000	2.8621530638496
26.000000000000	3.1614984742783
27.000000000000	3.4239307644279
28.000000000000	3.6511540166303
29.000000000000	3.8448159437470
30.000000000000	4.0064871022410
31.000000000000	4.1376521849992
32.000000000000	4.2397085727768
33.000000000000	4.3139691237887
34.000000000000	4.3616468968179
35.000000000000	4.3839712259900
36.000000000000	4.3819872563489
37.000000000000	4.3567309450827
38.000000000000	4.3091854741371
39.000000000000	4.2402876319447
40.000000000000	4.1509338036521
41.000000000000	4.0419855517105
42.000000000000	3.9142747930193
43.000000000000	3.7686085918040
44.000000000000	3.6057735931428
45.000000000000	3.4265401231285
46.000000000000	3.2316659797307
47.000000000000	3.0218999345556
48.000000000000	2.7979849605603
49.000000000000	2.5606611947879
50.000000000000	2.3106686386311
51.000000000000	2.0487495912056
52.000000000000	1.7756508042972
53.000000000000	1.4921253402068
54.000000000000	1.1989341068768
55.000000000000	0.89684703819152
56.000000000000	0.58664388164879
57.000000000000	0.26904713366557
58.000000000000	-0.055007294376412
59.000000000000	-0.38478005077264
60.000000000000	-0.71945355321199
61.000000000000	-1.0582038979819
62.000000000000	-1.4002033184530
63.000000000000	-1.7446232928028
64.000000000000	-2.0906382963179
65.000000000000	-2.4374301706186
66.000000000000	-2.7841930552703
67.000000000000	-3.1301387975336
68.000000000000	-3.4745027249837
69.000000000000	-3.8165496354237
70.000000000000	-4.1555798313224
71.000000000000	-4.4909350045118
72.000000000000	-4.8220037636018
73.000000000000	-5.1482265936784
74.000000000000	-5.4691000468227
