#Parameters = {Er=4.4; IE=60; P1=0; P2=167.923; P3=-130.636; P4=17.382; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (1) []"
#-----------------------------------
56.000000000000	-5.5078943917571
57.000000000000	-6.1139728771574
58.000000000000	-6.7524803619619
59.000000000000	-7.4258891047513
60.000000000000	-8.1363823579952
61.000000000000	-8.8865670539892
62.000000000000	-9.6795621646500
63.000000000000	-10.519110475339
64.000000000000	-11.409720307031
65.000000000000	-12.356844912839
66.000000000000	-13.367107404176
67.000000000000	-14.448575545410
68.000000000000	-15.611076641386
69.000000000000	-16.866499382309
70.000000000000	-18.228906280669
71.000000000000	-19.713937503776
72.000000000000	-21.336036687194
73.000000000000	-23.099440739299
74.000000000000	-24.972471549740
75.000000000000	-26.824683728427
76.000000000000	-28.328778017329
77.000000000000	-29.011373541377
78.000000000000	-28.711159994895
79.000000000000	-27.800920372265
80.000000000000	-26.720908293644
81.000000000000	-25.699786490075
82.000000000000	-24.813295718491
83.000000000000	-24.072876854342
84.000000000000	-23.468896036281
85.000000000000	-22.986914394330
86.000000000000	-22.613123300550
87.000000000000	-22.335877580881
88.000000000000	-22.145905385907
89.000000000000	-22.036118215679
90.000000000000	-22.001459379530
91.000000000000	-22.038208133697
92.000000000000	-22.144502367289
93.000000000000	-22.319767034661
94.000000000000	-22.564791594862
95.000000000000	-22.881750638276
96.000000000000	-23.274279345479
97.000000000000	-23.747591094566
98.000000000000	-24.308603691476
99.000000000000	-24.965984733197
100.00000000000	-25.729882932223
101.00000000000	-26.610747499369
102.00000000000	-27.615720067882
103.00000000000	-28.738870690086
104.00000000000	-29.937043798503
105.00000000000	-31.079498184950
106.00000000000	-31.887079961851
107.00000000000	-31.997424425440
108.00000000000	-31.285218232267
109.00000000000	-30.015335999176
110.00000000000	-28.541290170191
111.00000000000	-27.076918209765
112.00000000000	-25.708633236228
113.00000000000	-24.459203605643
114.00000000000	-23.326371820479
115.00000000000	-22.299783859659
116.00000000000	-21.367552250119
117.00000000000	-20.518565379729
118.00000000000	-19.743147472657
119.00000000000	-19.033109017701
120.00000000000	-18.381594102137
121.00000000000	-17.782880163048
122.00000000000	-17.232186441305
123.00000000000	-16.725508434663
124.00000000000	-16.258611650100
125.00000000000	-15.830391578276
126.00000000000	-15.437569369221
127.00000000000	-15.078110723765
128.00000000000	-14.750287896614
129.00000000000	-14.452632566684
130.00000000000	-14.183897596004
131.00000000000	-13.943025884910
132.00000000000	-13.729124912917
133.00000000000	-13.541445852853
134.00000000000	-13.379366375496
135.00000000000	-13.242376436424
136.00000000000	-13.130066467356
137.00000000000	-13.042117489193
